origin,dest,distance
-122.3267366&47.6184953,-122.3265242&47.6184955,0.731058578630005
-122.325639&47.6184961,-122.3252789&47.6184985,0.998830489734944
-122.3270679&47.6169908,-122.3277756&47.6167014,0.029312230751356
-122.3208473&47.61875,-122.3208608&47.6192395,0.999447221363076
-122.3208676&47.6196499,-122.3208739&47.6199123,0.904650535100891
-122.3208246&47.6150562,-122.32083&47.615259,0.999664649869534
-122.3208465&47.6185489,-122.3208473&47.61875,0.985936372956754
-122.3212243&47.6152553,-122.3208567&47.6152592,0.9992903296009
-122.3194548&47.6140957,-122.318927&47.6140978,0.622459331201855
-122.3278818&47.6184996,-122.3277701&47.618501,0.679178699175393
-122.3195328&47.6187537,-122.3200547&47.6187522,0.993307149075715
-122.3262525&47.6177405,-122.3258531&47.6182324,0.999876605424014
-122.3267787&47.6171377,-122.3266932&47.6172155,0.989013057369407
-122.3268033&47.6152241,-122.3269455&47.6152242,0.880797077977882
-122.3268213&47.614102,-122.3268196&47.6142063,0.993307149075715
-122.3267649&47.6177467,-122.32677&47.6173683,0.005220125693558
-122.3267366&47.6184953,-122.3267649&47.6177467,0.047425873177567
-122.32747495032794&47.61406478901449,-122.3274414&47.6140741,0.268941421369995
-122.3230638&47.619872,-122.3229544&47.6198827,0.989013057369407
-122.3272104&47.6141011,-122.3268213&47.614102,0.977022630089974
-122.3268213&47.614102,-122.3261797&47.6141027,0.999569442918675
-122.3261797&47.6141027,-122.3255171&47.6141034,0.991422514586288
-122.3244585&47.6141046,-122.3235168&47.6141056,0.996827317157515
-122.3255171&47.6141034,-122.3244585&47.6141046,0.985936372956754
-122.3208285&47.6140904,-122.3207824&47.6140905,0.998498817743263
-122.3181951&47.6176072,-122.3182109&47.6187653,0.985936372956754
-122.325639&47.6184961,-122.3253709&47.6188395,0.9992903296009
-122.3200547&47.6187522,-122.3208473&47.61875,0.999447221363076
-122.3215406&47.6187479,-122.3208473&47.61875,0.994779874306441
-122.3208451&47.6181912,-122.3208465&47.6185489,0.851952801968311
