origin,dest,distance
-122.3035606&47.6244049,-122.304092&47.6244094,0.997527377
-122.2966276&47.6243636,-122.2966207&47.6250493,0.817574476
-122.2965981&47.6238092,-122.2966105&47.6239395,0.904650535
-122.2934632&47.6213354,-122.2931899&47.6213359,0.991422515
-122.2923121&47.6213264,-122.2920231&47.621326,0.999447221
-122.2931899&47.6213359,-122.2930338&47.6213342,0.999972464
-122.29609342234266&47.62134559068884,-122.2954356&47.6213452,4.36E-09
-122.2937857&47.621341,-122.2934632&47.6213354,0.622459331
-122.2947787&47.6213443,-122.2937857&47.621341,0.000158
-122.2920231&47.621326,-122.2912329&47.6213261,0.0000583
-122.2985909&47.6213577,-122.2985336&47.6213571,0.970687769
-122.2961091&47.6213456,-122.29609342234266&47.62134559068884,0.0000354
-122.2972624&47.6213517,-122.2967443&47.621349,0.005220126
-122.2965799&47.6236045,-122.2964842&47.6234209,0.997527377
-122.2965981&47.6238092,-122.2965993&47.6236801,0.952574127
-122.3095285&47.6129105,-122.3093252&47.6129092,0.5
-122.2986306&47.6176372,-122.2985571&47.6177833,2.51E-08
-122.2988466&47.6100317,-122.29883&47.6115789,0.0000214
-122.2988139&47.612943,-122.2988032&47.6134061,8.76E-08
-122.2987918&47.6153029,-122.2987516&47.6164554,0.07585818
-122.2987516&47.6164554,-122.2987135&47.6174949,0.148047198
-122.2987905&47.6141404,-122.2987918&47.6153029,0.000000648
-122.29883&47.6115789,-122.2988163&47.6124667,0.000000832
-122.3025627&47.6189356,-122.30254496076051&47.6189355125284,0.999796573
-122.301194&47.6189284,-122.3005359&47.6189248,0.777299861
-122.30254496076051&47.6189355125284,-122.3024613&47.6189351,0.99973881
-122.2972731&47.6189103,-122.2961215&47.6189053,0.014063627
-122.298566&47.6189136,-122.2978968&47.6189098,0.00000614
-122.2998714&47.618921,-122.2992113&47.6189172,0.00000789
-122.2893888&47.6104112,-122.2893848&47.6105485,0.997527377
-122.2961994&47.6116226,-122.2960625&47.6116792,0.0000354
-122.29622999804438&47.61161670525864,-122.2961994&47.6116226,0.880797078
-122.293767&47.6116676,-122.2926309&47.6116558,0.000000113
-122.2926309&47.6116558,-122.2914762&47.6116489,0.000911
-122.2914762&47.6116489,-122.2904176&47.611642,0.07585818
-122.2949348&47.6116797,-122.293767&47.6116676,0.000000144
-122.3027266&47.6115743,-122.3014628&47.6115779,0.182425524
-122.29883&47.6115789,-122.2981761&47.6115688,1.96E-08
-122.2975122&47.6115657,-122.2968776&47.611566,0.006692851
-122.3001209&47.6115811,-122.29883&47.6115789,0.0000167
-122.3014628&47.6115779,-122.3001209&47.6115811,0.0000961
-122.296162&47.6176241,-122.2961215&47.6189053,0.000553
-122.2961802&47.615295,-122.2961732&47.6161996,0.000203
-122.2961712&47.6164537,-122.2961694&47.6166843,0.047425873
-122.2903068&47.6152329,-122.2892663&47.6152239,0.000000832
-122.2892663&47.6152239,-122.2881645&47.6152156,0.07585818
-122.2935669&47.6152795,-122.2924061&47.6152742,0.000000306
-122.2924061&47.6152742,-122.2913598&47.6152617,0.0000167
-122.2948654&47.6152854,-122.2942401&47.6152826,2.79E-10
-122.29616453491013&47.61529484134764,-122.2955384&47.6152885,1.61E-09
-122.2913598&47.6152617,-122.2903068&47.6152329,1.52E-08
-122.3036021&47.6153067,-122.30264740632715&47.61530512183089,0.97702263
-122.3101454&47.6152775,-122.3098786&47.6152784,0.095349465
-122.3088412&47.6152791,-122.3081327&47.6152859,0.268941421
-122.3048957&47.615292,-122.3036021&47.6153067,0.00116951
-122.3074525&47.6152872,-122.3062076&47.6152895,0.622459331
-122.3062076&47.6152895,-122.3048957&47.615292,0.0000583
-122.3026342&47.6153051,-122.3013896&47.6153015,0.777299861
-122.2987918&47.6153029,-122.2981201&47.6152967,0.02297737
-122.2974849&47.6152975,-122.29685&47.6152946,0.00000479
-122.2961802&47.615295,-122.29616453491013&47.61529484134764,0.000158
-122.3000938&47.6153065,-122.2993962&47.6153077,0.037326887
-122.3013896&47.6153015,-122.3007557&47.6152981,0.000203
-122.30264740632715&47.61530512183089,-122.3026342&47.6153051,0.99883049
-122.2913445&47.6164381,-122.290288&47.6165053,4.14E-08
-122.29616107848148&47.61645366685092,-122.29553&47.6164516,0.000013
-122.2948532&47.6164452,-122.2942185&47.6164474,0.00000373
-122.2924016&47.6164415,-122.2913445&47.6164381,8.76E-08
-122.2935496&47.6164452,-122.2924016&47.6164415,0.000911
-122.2892174&47.6165019,-122.2881146&47.6164983,0.0000354
-122.290288&47.6165053,-122.2892174&47.6165019,0.000000113
-122.3025966&47.6164731,-122.3013692&47.6164743,0.985936373
-122.3000757&47.616461,-122.2993946&47.6164678,0.622459331
-122.2961712&47.6164537,-122.29616107848148&47.61645366685092,0.904650535
-122.2974626&47.6164579,-122.2968247&47.6164558,0.777299861
-122.2987516&47.6164554,-122.2980856&47.6164611,0.222700139
-122.3013692&47.6164743,-122.3007696&47.6164734,0.377540669
-122.2919909&47.6224884,-122.2919711&47.6235879,0.010986943
-122.2919697&47.6236499,-122.2919667&47.6237393,0.0000275
-122.2920231&47.621326,-122.2919958&47.6223103,0.998073265
-122.29621421388394&47.61294764531353,-122.2962019&47.6129477,0.222700139
-122.3014392&47.6129411,-122.3005373&47.6129418,0.377540669
-122.2988139&47.612943,-122.2984857&47.6129427,0.000000113
-122.2975079&47.6129419,-122.29621421388394&47.61294764531353,0.0000167
-122.3000941&47.6129422,-122.2988139&47.612943,0.377540669
-122.3036544&47.612927,-122.303071&47.612936,0.999998629
-122.30270674450163&47.612941558122046,-122.302704&47.6129416,0.99883049
-122.2914365&47.6129189,-122.2913373&47.6129183,0.970687769
-122.2893087&47.6140642,-122.2892947&47.6144456,0.029312231
-122.2892174&47.6165019,-122.2892105&47.6167382,7.19E-09
-122.2892663&47.6152239,-122.2892251&47.616301,0.000000144
-122.2891839&47.6176413,-122.2891828&47.6177125,0.010986943
-122.2961011&47.6201801,-122.2961091&47.6213456,0.000000238
-122.2961091&47.6213456,-122.2961593&47.6216091,0.00000479
-122.2961215&47.6189053,-122.2961046&47.6199596,0.005220126
-122.3088113&47.6185112,-122.3081968&47.6185078,0.999903898
-122.310087&47.6185175,-122.309485&47.6185145,0.997527377
-122.3074087&47.6185035,-122.3067449&47.6185036,0.999841564
-122.306096&47.6185046,-122.3054439&47.6184999,0.991422515
-122.3088653&47.6115414,-122.3081999&47.6115403,0.000911
-122.3101674&47.6115459,-122.3095104&47.6115431,0.119202922
-122.3060219&47.6232103,-122.3060182&47.6235469,0.005220126
-122.3060521&47.6218708,-122.3060444&47.6224483,0.989013057
-122.3059841&47.624415,-122.3060011&47.6251111,0.000158
-122.2935109&47.6188834,-122.2934195&47.618883,0.000335
-122.2923458&47.6188787,-122.2912781555747&47.61887731640082,3.1E-12
-122.2948273&47.6188939,-122.294171&47.6188841,0.02297737
-122.29585047223377&47.6189026609352,-122.2954745&47.618899,0.0000167
-122.2961215&47.6189053,-122.29611699393234&47.6189052561233,0.014063627
-122.3061575&47.617266,-122.30615765584002&47.61725155882419,0.999841564
-122.30615765584002&47.61725155882419,-122.3061587&47.6171548,0.999841564
-122.3061587&47.6171548,-122.3061605&47.6169872,0.999841564
-122.306096&47.6185046,-122.3061252&47.6173837,0.99999824
-122.3048804&47.617125,-122.3044687&47.6171217,0.993307149
-122.3058297&47.6171284,-122.3048804&47.617125,0.817574476
-122.3036255&47.6171147,-122.3025962811585&47.617113230107336,0.99966465
-122.3025962811585&47.617113230107336,-122.3025752&47.6171132,0.989013057
-122.3060409&47.6171063,-122.3059571&47.6171176,0.99966465
-122.3061605&47.6169872,-122.3061014&47.6170689,0.999841564
-122.3011951&47.6202105,-122.301028&47.6202099,0.989013057
-122.2961948&47.6234769,-122.2961238&47.6235248,0.97702263
-122.2964149&47.6233284,-122.2961948&47.6234769,0.997527377
-122.2954597&47.6239727,-122.2952184&47.6241354,0.93991335
-122.2950922&47.6242221,-122.2950548&47.6242475,0.93991335
-122.29592477915855&47.6236590038225,-122.2955315&47.6239242,0.679178699
-122.3061587&47.6171548,-122.3061294&47.6171253,0.999841564
-122.3029152&47.6189332,-122.30288494250108&47.6189334060085,0.851952802
-122.30288494250108&47.6189334060085,-122.3025627&47.6189356,0.999447221
-122.3041758&47.6181052,-122.3040889&47.6181638,0.99973881
-122.3061575&47.617266,-122.305925&47.6173653,0.999999814
-122.3074188&47.616743,-122.3068747&47.6169686,0.999978555
-122.3036493&47.6184451,-122.3030834&47.6188213,0.817574476
-122.289353&47.6116374,-122.2896716&47.6116388,0.952574127
-122.2903946&47.6116534,-122.290369&47.6129065,0.002472623
-122.2893391&47.6124924,-122.289334&47.6128084,0.006692851
-122.289353&47.6116374,-122.2882564&47.6116274,0.997527377
-122.290369&47.6129065,-122.2894631&47.6128966,0.000911
-122.2902467&47.6176419,-122.2902237&47.6178295,0.002472623
-122.2903262&47.6140663,-122.2903068&47.6152329,1.88E-12
-122.290288&47.6165053,-122.2902467&47.6176419,0.00000137
-122.2903068&47.6152329,-122.290288&47.6165053,5.91E-10
-122.290369&47.6129065,-122.2903262&47.6140663,0.0000101
-122.2925013&47.6140821,-122.292424&47.6141769,5.32E-08
-122.2924016&47.6164415,-122.2923882&47.6176047,0.000123
-122.2924061&47.6152742,-122.2924016&47.6164415,0.0000101
-122.2926309&47.6116558,-122.2925781&47.6129327,0.000000832
-122.2925781&47.6129327,-122.292572&47.6139865,0.00000107
-122.2923882&47.6176047,-122.2923716&47.6181043,0.000000504
-122.2926464&47.6104249,-122.2926309&47.6116558,0.00116951
-122.2999503&47.6176511,-122.2993704&47.617645,0.095349465
-122.3012396&47.6176647,-122.3007236&47.6176592,0.119202922
-122.296451&47.6236649,-122.2965799&47.6236045,0.97702263
-122.302704&47.6129416,-122.3022924&47.6129415,0.622459331
-122.3030834&47.6188213,-122.3029152&47.6189332,0.851952802
-122.2962019&47.6129477,-122.2962021&47.6128742,0.095349465
-122.2972108&47.6227888,-122.2971326&47.6228419,0.731058579
-122.29689871870764&47.62300064406659,-122.2967151&47.6231253,0.970687769
-122.2971326&47.6228419,-122.2970343&47.6229086,0.562176501
-122.2975091&47.6225886,-122.2972742&47.6227458,0.92414182
-122.2972742&47.6227458,-122.2972108&47.6227888,0.817574476
-122.2975751&47.622544,-122.2975091&47.6225886,0.777299861
